mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__max_leaf_nodes,param_model__max_depth,param_model__learning_rate,param_model__l2_regularization,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.4179245948791504,0.15710728522153547,0.025435495376586913,0.0056515204381531415,100,31,2,0.001,0.0008858667904100823,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 31, 'model__max_depth': 2, 'model__learning_rate': 0.001, 'model__l2_regularization': 0.0008858667904100823}",0.5655172413793104,0.5627376425855513,0.524497708847374,0.4987221613727639,0.34040632054176073,0.4983762149453521,0.08280972220576023,11,0.574712643678161,0.5976298997265269,0.5708486616770265,0.5497648165569143,0.49691586479151245,0.5579743772860283,0.03409990045683755
0.21162838935852052,0.1261502432278538,0.021343231201171875,0.015104970624503103,100,15,3,0.36869450645195734,0.000379269019073225,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 15, 'model__max_depth': 3, 'model__learning_rate': 0.36869450645195734, 'model__l2_regularization': 0.000379269019073225}",0.48597422289613346,0.5505865102639296,0.4393630053082891,0.48252016903572803,0.5260196905766525,0.49689271961614656,0.0383845161507018,12,0.8241415192507805,0.796815507095881,0.777711347602535,0.5976160375654687,0.6034709056438675,0.7199510634317066,0.09862406392261198
0.4480265140533447,0.13208748710796045,0.035178089141845705,0.020650808955351183,50,15,5,0.01467799267622069,0.0008858667904100823,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 15, 'model__max_depth': 5, 'model__learning_rate': 0.01467799267622069, 'model__l2_regularization': 0.0008858667904100823}",0.5107716412064238,0.5638930163447251,0.5001874765654293,0.45996860282574575,0.44626807346619773,0.49621776208170437,0.04151261738260711,13,0.7027777777777777,0.6842291371994343,0.6499818643453028,0.5981445760999358,0.5661995558618578,0.6402665822568616,0.0513710624968439
0.44325504302978513,0.19039540223642812,0.02208247184753418,0.0057562861129478735,20,63,2,0.00223872113856834,1.274274985703132e-05,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 63, 'model__max_depth': 2, 'model__learning_rate': 0.00223872113856834, 'model__l2_regularization': 1.274274985703132e-05}",0.5617283950617283,0.5603382013835512,0.5252808988764045,0.4749904543718977,0.3560070671378092,0.4956690033662781,0.07662358850728766,14,0.5784023668639053,0.5966386554621848,0.5772266065388951,0.5526783210245862,0.5233732675593141,0.5656638434897772,0.025347674646931617
0.6137068271636963,0.38269969135512216,0.04455752372741699,0.029876419891088385,10,31,8,0.042986623470822743,10.0,"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 31, 'model__max_depth': 8, 'model__learning_rate': 0.042986623470822743, 'model__l2_regularization': 10.0}",0.52985884907709,0.5390713476783693,0.4747514910536779,0.47324159021406725,0.4600614439324117,0.4953969443911233,0.03243691857118581,15,0.8602002071108044,0.8087469628601179,0.7846043509442983,0.6266896489159032,0.5987366521281395,0.7357955643918527,0.10379784731485049
1.7111188411712646,0.6284703355516962,0.0582888126373291,0.021473850221077423,10,127,8,0.0029286445646252374,1.274274985703132e-05,"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 127, 'model__max_depth': 8, 'model__learning_rate': 0.0029286445646252374, 'model__l2_regularization': 1.274274985703132e-05}",0.5328823750469748,0.546205860255447,0.4647435897435898,0.4632214258770275,0.4677603967951163,0.49496272954363113,0.036672691845345655,16,0.7912238601302707,0.7378675168260715,0.7294709121378982,0.6505065808162106,0.6569397126351653,0.7132017165091232,0.053021951013496035
0.4466231346130371,0.203395811000896,0.0327181339263916,0.016886935628303516,50,127,5,0.019201419386388013,0.002069138081114788,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 127, 'model__max_depth': 5, 'model__learning_rate': 0.019201419386388013, 'model__l2_regularization': 0.002069138081114788}",0.5470459518599563,0.54903445664521,0.4663253249310752,0.4528605962933119,0.45893909626719054,0.49484108519934883,0.0436502748066338,17,0.724006908462867,0.704042179261863,0.6758068429992721,0.6127188940092165,0.5946674655482326,0.6622484580562903,0.050527258770212614
0.43437900543212893,0.2637606993268985,0.03779106140136719,0.02638743470011045,100,15,8,0.05623413251903488,1e-06,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 15, 'model__max_depth': 8, 'model__learning_rate': 0.05623413251903488, 'model__l2_regularization': 1e-06}",0.5545235638114895,0.542624166048925,0.4469727752945957,0.4770992366412214,0.44418331374853115,0.49308061110895257,0.04690859796542905,18,0.7920110192837466,0.7538300835654596,0.7382534122478559,0.6036250457707799,0.5736387077203093,0.6922716537176303,0.08692951216115198
1.6213274002075195,1.3605602101989502,0.06311397552490235,0.049602913131377054,20,127,,0.36869450645195734,1.8329807108324339,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 127, 'model__max_depth': None, 'model__learning_rate': 0.36869450645195734, 'model__l2_regularization': 1.8329807108324339}",0.41652470187393525,0.5488611315209404,0.46506024096385545,0.5075284612559676,0.5127458120903132,0.49014406954100237,0.04540871934090866,19,1.0,1.0,1.0,0.7856697264058462,0.7531853972798853,0.9077710247371463,0.11342309721097593
0.19727654457092286,0.1068849385319587,0.01732664108276367,0.012524993334286963,100,127,2,0.0735642254459641,5.455594781168514e-06,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 127, 'model__max_depth': 2, 'model__learning_rate': 0.0735642254459641, 'model__l2_regularization': 5.455594781168514e-06}",0.5435591958302308,0.548959136468774,0.47141190198366395,0.49692140528793916,0.3891213389121339,0.48999459569654835,0.05816303738113655,20,0.6568317527221637,0.6588402703664176,0.6326086956521738,0.5714546950717747,0.5438503080550696,0.6127171443735199,0.04672118598724475
