mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_leaf,param_model__max_leaf_nodes,param_model__max_depth,param_model__learning_rate,param_model__l2_regularization,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,generalization_gap_f1,worst_fold_f1,stability_ratio_f1,generalization_gap_accuracy,worst_fold_accuracy,stability_ratio_accuracy
0.3987418174743652,0.15557805788767448,0.033502197265625,0.012931976761939284,50,15,5,0.01467799267622069,0.0008858667904100823,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 15, 'model__max_depth': 5, 'model__learning_rate': 0.01467799267622069, 'model__l2_regularization': 0.0008858667904100823}",0.5844709897610921,0.41332639250390424,0.6733668341708543,0.6074074074074074,0.6728913787737317,0.590292600523398,0.09525516575168344,11,0.7916172400158165,0.7178759627077421,0.7080042127435493,0.7099763593380616,0.6748582230623819,0.7204663995735102,0.038508713996181373,0.5716798592788038,0.5043975373790677,0.5426561125769569,0.5105540897097626,0.5378188214599824,0.5334212840809147,0.024222408714020063,3,0.7686567164179104,0.6942003514938488,0.6750659244066803,0.662967032967033,0.5765781607174257,0.6754936372005795,0.061596543293681666,0.13017379905011217,0.41332639250390424,0.1613694050496703,0.14207235311966482,0.5043975373790677,0.045409527960166216
0.43152556419372556,0.18975296033629974,0.029570579528808594,0.010349753275908037,20,15,5,0.01122018454301963,1e-06,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 15, 'model__max_depth': 5, 'model__learning_rate': 0.01122018454301963, 'model__l2_regularization': 1e-06}",0.5906996229576875,0.3373772385904102,0.6641414141414141,0.6237521514629949,0.6738131699846861,0.5779567194274385,0.1238986283232335,12,0.8025326474079937,0.7198703666194045,0.7119622245540399,0.7090824406148114,0.6770607196894941,0.7241016797771487,0.041845230405978685,0.5703605980650835,0.49560246262093227,0.5321020228671943,0.519349164467898,0.5316622691292876,0.5298153034300792,0.02421825685768966,10,0.7809482001755926,0.6961775043936731,0.6782888953999414,0.6568131868131868,0.5684016177246352,0.6761258809014058,0.06836952813108974,0.14614496034971014,0.3373772385904102,0.21437354071421738,0.14631057747132659,0.49560246262093227,0.045710753730400296
0.409986686706543,0.1815817642693669,0.029601001739501955,0.011833013984427586,50,127,5,0.019201419386388013,0.002069138081114788,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 127, 'model__max_depth': 5, 'model__learning_rate': 0.019201419386388013, 'model__l2_regularization': 0.002069138081114788}",0.5806451612903226,0.3917970858067997,0.6605271514766592,0.6016612495485736,0.633850303438975,0.573696190312266,0.0949481438453937,13,0.807478122513922,0.7468997763773125,0.7349074322511403,0.7289430422589691,0.6816882232811436,0.7399833193364975,0.04037166433455907,0.5712401055408971,0.5043975373790677,0.5299032541776605,0.5149516270888302,0.5224274406332454,0.5285839929639402,0.02293474900686949,12,0.7875329236172081,0.726493848857645,0.710518605332552,0.6919780219780219,0.588886935115175,0.7010820669801203,0.06462072233757034,0.16628712902423148,0.3917970858067997,0.16550248275783894,0.17249807401618011,0.5043975373790677,0.04338903431083296
0.5501340389251709,0.20619101875532192,0.032679080963134766,0.013273766900011561,20,31,5,0.008576958985908937,0.14384498882876628,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 31, 'model__max_depth': 5, 'model__learning_rate': 0.008576958985908937, 'model__l2_regularization': 0.14384498882876628}",0.5894736842105264,0.3578238923163208,0.6486133768352367,0.6252147028512539,0.6430697982136949,0.5728390908854065,0.10947652232568483,14,0.8060055314105097,0.728410008071025,0.7171996315304645,0.7161694566538858,0.6826420473830697,0.730085335009791,0.040932240366930175,0.5712401055408971,0.49648197009674583,0.5263852242744064,0.5202286719437115,0.5255057167985928,0.5279683377308707,0.02421697922022959,13,0.7844600526777875,0.7043057996485061,0.6851743334309991,0.6664835164835164,0.5889748549323017,0.6858797114346221,0.06296803245604768,0.15724624412438448,0.3578238923163208,0.19111217105744804,0.1579113737037514,0.49648197009674583,0.045868241501584285
0.5603099346160889,0.24789642222325212,0.031724071502685545,0.013871878706344742,10,127,5,0.01467799267622069,1e-06,"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 127, 'model__max_depth': 5, 'model__learning_rate': 0.01467799267622069, 'model__l2_regularization': 1e-06}",0.5756013745704467,0.3798024149286498,0.6458471760797342,0.5996316758747698,0.6611570247933884,0.5724079332493978,0.10111175950895546,15,0.8806151355726426,0.7668308702791461,0.7616115647169053,0.7474379848673497,0.6819082859785912,0.7676807682829271,0.06412241086348609,0.565523306948109,0.5030782761653474,0.5312225153913809,0.5219876868953386,0.5312225153913809,0.5306068601583113,0.020258476761847628,9,0.8705004389815628,0.7504393673110721,0.739085848227366,0.7102197802197803,0.5767540003516792,0.7293998870182921,0.09393027898703629,0.19527283503352932,0.3798024149286498,0.176642833957546,0.1987930268599808,0.5030782761653474,0.03817982442933989
0.19813156127929688,0.09431093873379985,0.01351480484008789,0.005824037070750586,100,127,2,0.16468978654828673,0.3359818286283781,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 127, 'model__max_depth': 2, 'model__learning_rate': 0.16468978654828673, 'model__l2_regularization': 0.3359818286283781}",0.5716723549488054,0.40084835630965004,0.6407506702412868,0.604951560818084,0.6307026307026307,0.5697851146040914,0.08778031985927884,16,0.7872255489021955,0.7205303501139425,0.7045362767532642,0.6935215132804078,0.6436878240156929,0.7099003026131007,0.04641836158026529,0.5584872471416007,0.5030782761653474,0.5285839929639402,0.5158311345646438,0.5123131046613896,0.5236587510993843,0.019239716038489257,18,0.7660228270412642,0.703646748681898,0.6784353940814533,0.6563736263736264,0.552839810093195,0.6714636812542872,0.06974972290454226,0.14011518800900924,0.40084835630965004,0.15405864001953082,0.14780493015490292,0.5030782761653474,0.036740942451733774
0.8085980415344238,0.3615161908255813,0.047794342041015625,0.02363123191114817,10,31,8,0.042986623470822743,10.0,"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 31, 'model__max_depth': 8, 'model__learning_rate': 0.042986623470822743, 'model__l2_regularization': 10.0}",0.5717905405405406,0.452626411389298,0.6348448687350835,0.5686876438986953,0.6202838352371063,0.5696466599601447,0.06405339094665029,17,0.952965235173824,0.8877721943048575,0.855492919015537,0.8272177419354839,0.6878998609179415,0.8422695902695289,0.08781280165927077,0.554089709762533,0.509674582233949,0.5290237467018469,0.5057167985927881,0.5175901495162709,0.5232189973614776,0.017367544846657087,19,0.9495171202809481,0.8822495606326889,0.8460298857310284,0.8116483516483517,0.6054158607350096,0.8189721558056053,0.11613618534449065,0.2726229303093841,0.452626411389298,0.11244407357910564,0.29575315844412775,0.5057167985927881,0.033193643453772244
2.003797245025635,0.8438608187449448,0.056404924392700194,0.0294604521230778,10,127,8,0.0029286445646252374,1.274274985703132e-05,"{'model__min_samples_leaf': 10, 'model__max_leaf_nodes': 127, 'model__max_depth': 8, 'model__learning_rate': 0.0029286445646252374, 'model__l2_regularization': 1.274274985703132e-05}",0.5971252566735114,0.3593406593406593,0.597459165154265,0.6114605171208944,0.6553273427471118,0.5641425882072884,0.10458998675138009,18,0.8760852407261247,0.8007283026502123,0.797609345286607,0.7737435505446207,0.7110501925461784,0.7918433263507485,0.05303587893121822,0.5686015831134564,0.4872471416007036,0.5123131046613896,0.5109938434476693,0.5277044854881267,0.521372031662269,0.02692585958693176,21,0.8621597892888498,0.7836115992970123,0.7817169645473191,0.7397802197802198,0.6107789695797433,0.755609508498629,0.08251682261424723,0.22770073814346015,0.3593406593406593,0.18539636775826893,0.23423747683635998,0.4872471416007036,0.05164423473404423
0.6971407413482666,0.34665908852027083,0.04873471260070801,0.02236458803836892,50,127,8,0.03285993247600654,0.002069138081114788,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 127, 'model__max_depth': 8, 'model__learning_rate': 0.03285993247600654, 'model__l2_regularization': 0.002069138081114788}",0.5588874402433726,0.4094165813715455,0.6450100468854656,0.5709828393135725,0.5917159763313609,0.5552025768290634,0.07863175108713719,19,0.9126213592233009,0.8737215612606971,0.8573804573804573,0.8521650534895568,0.6959907701182578,0.838375840294454,0.07427858796698171,0.5536499560246262,0.4925241864555849,0.5338610378188214,0.5162708883025505,0.5145118733509235,0.5221635883905014,0.02049384529244006,20,0.9051799824407375,0.867091388400703,0.8492528567242895,0.8405494505494505,0.6293300509934939,0.8182807458217349,0.0970479140363383,0.2831732634653906,0.4094165813715455,0.14162713641609492,0.29611715743123357,0.4925241864555849,0.039247940201287426
0.6533573150634766,0.3083827602742916,0.051408910751342775,0.022014478459793974,50,63,8,0.042986623470822743,4.281332398719387,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 63, 'model__max_depth': 8, 'model__learning_rate': 0.042986623470822743, 'model__l2_regularization': 4.281332398719387}",0.5607961921246213,0.40963855421686746,0.6452268111035884,0.5760743321718932,0.5660522273425499,0.551557623391904,0.07721586964788209,20,0.9202603742880391,0.8876804015896257,0.86636199972303,0.8525425456027719,0.7086556169429097,0.8471001876292753,0.07289266423309256,0.5536499560246262,0.5043975373790677,0.5391380826737028,0.5184696569920845,0.5030782761653474,0.5237467018469657,0.019801618127467235,17,0.9139596136962248,0.8820298769771528,0.858628772341049,0.840989010989011,0.6522771232635836,0.8295768794534041,0.09195783333575437,0.29554256423737135,0.40963855421686746,0.139996015598568,0.3058301776064384,0.5030782761653474,0.03780762352801049
